id,deal_id,type,title,description,source,current_status_id,created_at,updated_at,owner_individual_id,tenant_id,account_id
95,1,Job,Etsy - Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,90
96,1,Job,Adonis - Fullstack Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,91
97,1,Job,GlossGenius - Software Engineer - All levels,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,92
98,1,Job,Graphite - Senior Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,93
99,1,Job,Graphite - Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,93
100,1,Job,Tavus - Solutions Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,94
101,1,Job,ShiftSmart - Senior Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,95
103,1,Job,Versana - Full-Stack Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,97
104,1,Job,"Torch - Lead Software Engineer, Product",,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,98
106,1,Job,Superblocks - Solutions Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,99
107,1,Job,Meridian - Founding Backend Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,100
108,1,Job,"Axion Ray - Senior Software Engineer, CoreApp",,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,101
109,1,Job,"Axion Ray - Software Engineer, Fullstack, CoreApp",,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,101
111,1,Job,"Hudson River Trading - Experienced Software Engineer, Systems",,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,103
113,1,Job,SquareSpace - Senior Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,105
114,1,Job,Particle Health - API/Backend Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,106
115,1,Job,Lithos - Senior Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,107
116,1,Job,Mirage - Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,108
120,1,Job,Quantiphi - Software Developer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:25:31+00,,1,112
121,1,Job,Radical AI - Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 17:35:45+00,,1,113
122,1,Job,Workmate - Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,114
123,1,Job,"Pave - Senior Software Engineer, Backend",,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,115
124,1,Job,MLabs - Senior Backend Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,116
110,1,Job,Sigma Computing - Senior Software Engineer - Backend,,manual,5,2025-11-11 11:22:46+00,2025-11-17 22:57:42.36562+00,,1,102
112,1,Job,"American Equity Investment Life Insurance Co. - Senior Application Developer, Optimizely Expert",,manual,5,2025-11-11 11:22:46+00,2025-11-17 23:01:34.499293+00,,1,104
64,1,Job,DeepL - Senior Software Engineer API,,manual,5,2025-11-11 11:22:46+00,2025-11-17 23:02:21.454756+00,,1,61
118,1,Job,Rockstar Games - Associate Lead Software Engineer,N,manual,5,2025-11-11 11:22:46+00,2025-11-18 00:32:24.562389+00,,1,110
119,1,Job,MTA - Application Developer Analyst 1-5,N,manual,5,2025-11-11 11:22:46+00,2025-11-18 00:32:32.966385+00,,1,111
102,1,Job,"Persona - Senior Software Engineer, Product",,manual,5,2025-11-11 11:22:46+00,2025-11-19 20:39:39.207408+00,,1,96
117,1,Job,Monday.com - Solution Engineer,,manual,5,2025-11-11 11:22:46+00,2025-11-25 04:20:17.161683+00,,1,109
105,1,Job,Capitalize - Integrations Engineer,Completed 2 rounds and technical,manual,5,2025-11-11 11:22:46+00,2025-11-27 00:21:30.762762+00,,1,12
125,1,Job,Parker - Senior Software Engineer - Backend,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,117
126,1,Job,Unify - Software Engineer - AI,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,118
127,1,Job,Findigs - Senior Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,119
130,1,Job,Spotify - Staff Backend Enginer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,122
